ID,Metrekare,OdaSayisi,BinaYasi,Sehir,Ilce,Fiyat
4.21,150 m²,3 + 1,40 Yaşında,İstanbul,"Fatih, İskenderpaşa Mahallesi","5.250.000
TL"
4.22,145 m²,3 + 1,26 Yaşında,İstanbul,"Fatih, Hırka-I Şerif Mahallesi","5.200.000
TL"
4.23,300 m²,5 + 3,80 Yaşında,İstanbul,"Fatih, Derviş Ali Mahallesi","7.500.000
TL"
4.24,90 m²,2 + 1,31 Yaşında,İstanbul,"Fatih, Akşemsettin Mahallesi","3.650.000
TL"
5.1,89 m²,8 + 4,25 Yaşında,İstanbul,"Fatih, Balat Mahallesi","10.500.000
TL"
5.2,95 m²,2 + 1,40 Yaşında,İstanbul,"Fatih, Molla Gürani Mahallesi","25.000.000
TL"
5.3,150 m²,3 + 1,4 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","14.750.000
TL"
5.4,80 m²,2 + 1,30 Yaşında,İstanbul,"Fatih, Mevlanakapı Mahallesi","2.700.000
TL"
5.5,150 m²,4 + 1,Sıfır Bina,İstanbul,"Fatih, Hırka-I Şerif Mahallesi","12.900.000
TL"
5.6,100 m²,3 + 1,31 Yaşında,İstanbul,"Fatih, Zeyrek Mahallesi","4.950.000
TL"
5.7,85 m²,2 + 1,38 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","2.800.000
TL"
5.8,95 m²,2 + 1,35 Yaşında,İstanbul,"Fatih, Silivrikapı Mahallesi","2.990.000
TL"
5.9,110 m²,3 + 1,30 Yaşında,İstanbul,"Fatih, Ali Kuşçu Mahallesi","3.200.000
TL"
5.10,540 m²,12 + 6,Sıfır Bina,İstanbul,"Fatih, Zeyrek Mahallesi","32.000.000
TL"
5.11,200 m²,4 + 1,Sıfır Bina,İstanbul,"Fatih, Hırka-I Şerif Mahallesi","17.500.000
TL"
5.12,100 m²,2 + 1,2 Yaşında,İstanbul,"Fatih, Akşemsettin Mahallesi","8.000.000
TL"
5.13,125 m²,8 + 8,45 Yaşında,İstanbul,"Fatih, Saraç İshak Mahallesi","17.000.000
TL"
5.14,75 m²,2 + 1,31 Yaşında,İstanbul,"Fatih, Akşemsettin Mahallesi","3.800.000
TL"
5.15,100 m²,2 + 1,32 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","3.200.000
TL"
5.16,190 m²,5 + 1,40 Yaşında,İstanbul,"Fatih, Hırka-I Şerif Mahallesi","3.200.000
TL"
5.17,90 m²,2 + 1,37 Yaşında,İstanbul,"Fatih, Zeyrek Mahallesi","2.950.000
TL"
5.18,65 m²,2 + 1,30 Yaşında,İstanbul,"Fatih, Atikali Mahallesi","2.400.000
TL"
5.19,75 m²,2 + 1,30 Yaşında,İstanbul,"Fatih, İskenderpaşa Mahallesi","1.150.000
TL"
5.20,85 m²,2 + 1,35 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","1.830.000
TL"
5.21,110 m²,2 + 1,30 Yaşında,İstanbul,"Fatih, Derviş Ali Mahallesi","2.000.000
TL"
5.22,70 m²,2 + 1,35 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","1.100.000
TL"
5.23,130 m²,3 + 1,22 Yaşında,İstanbul,"Fatih, Ali Kuşçu Mahallesi","5.100.000
TL"
5.24,335 m²,8 + 1,35 Yaşında,İstanbul,"Fatih, Derviş Ali Mahallesi","9.700.000
TL"
6.1,90 m²,2 + 1,10 Yaşında,İstanbul,"Fatih, Cerrahpaşa Mahallesi","4.100.000
TL"
6.2,75 m²,1 + 1,35 Yaşında,İstanbul,"Fatih, Şehremini Mahallesi","1.400.000
TL"
6.3,130 m²,3 + 1,32 Yaşında,İstanbul,"Fatih, Şehremini Mahallesi","3.850.000
TL"
6.4,93 m²,2 + 1,40 Yaşında,İstanbul,"Fatih, Karagümrük Mahallesi","7.850.000
TL"
6.5,95 m²,2 + 1,42 Yaşında,İstanbul,"Fatih, Şehremini Mahallesi","2.500.000
TL"
6.6,180 m²,4 + 1,25 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","5.500.000
TL"
6.7,250 m²,5 + 1,60 Yaşında,İstanbul,"Fatih, Koca Mustafapaşa Mahallesi","12.500.000
TL"
6.8,85 m²,2 + 1,5 Yaşında,İstanbul,"Fatih, Sümbül Efendi Mahallesi","4.500.000
TL"
6.9,110 m²,2 + 1,40 Yaşında,İstanbul,"Fatih, Koca Mustafapaşa Mahallesi","2.800.000
TL"
6.10,92 m²,2 + 1,Sıfır Bina,İstanbul,"Fatih, Cerrahpaşa Mahallesi","4.050.000
TL"
6.11,65 m²,2 + 1,Sıfır Bina,İstanbul,"Fatih, Silivrikapı Mahallesi","3.600.000
TL"
6.12,75 m²,1 + 1,25 Yaşında,İstanbul,"Fatih, Molla Gürani Mahallesi","2.250.000
TL"
6.13,90 m²,2 + 1,35 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","1.350.000
TL"
6.14,120 m²,3 + 1,40 Yaşında,İstanbul,"Fatih, Hırka-I Şerif Mahallesi","2.325.000
TL"
6.15,160 m²,3 + 1,16 Yaşında,İstanbul,"Fatih, Şehremini Mahallesi","5.150.000
TL"
6.16,75 m²,1 + 1,32 Yaşında,İstanbul,"Fatih, Silivrikapı Mahallesi","2.100.000
TL"
6.17,85 m²,2 + 1,35 Yaşında,İstanbul,"Fatih, Mevlanakapı Mahallesi","2.050.000
TL"
6.18,500 m²,14 + 1,40 Yaşında,İstanbul,"Fatih, Derviş Ali Mahallesi","9.000.000
TL"
6.19,45 m²,1 + 1,30 Yaşında,İstanbul,"Fatih, Derviş Ali Mahallesi","1.000.000
TL"
6.20,170 m²,16 + 8,100 Yaşında,İstanbul,"Fatih, Koca Mustafapaşa Mahallesi","12.500.000
TL"
6.21,140 m²,3 + 1,25 Yaşında,İstanbul,"Fatih, Ali Kuşçu Mahallesi","4.900.000
TL"
6.22,44 m²,1 + 1,54 Yaşında,İstanbul,"Fatih, Cerrahpaşa Mahallesi","2.500.000
TL"
6.23,95 m²,2 + 1,31 Yaşında,İstanbul,"Fatih, Cerrahpaşa Mahallesi","2.450.000
TL"
6.24,90 m²,2 + 1,35 Yaşında,İstanbul,"Fatih, Yavuz Sultan Selim Mahallesi","2.700.000
TL"
7.1,140 m²,3 + 1,30 Yaşında,İstanbul,"Fatih, Koca Mustafapaşa Mahallesi","5.250.000
TL"
7.2,100 m²,2 + 1,42 Yaşında,İstanbul,"Fatih, Cerrahpaşa Mahallesi","2.450.000
TL"
7.3,80 m²,2 + 1,35 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","1.500.000
TL"
7.4,85 m²,2 + 1,40 Yaşında,İstanbul,"Fatih, Yedikule Mahallesi","1.990.000
TL"
7.5,130 m²,3 + 1,35 Yaşında,İstanbul,"Fatih, Şehremini Mahallesi","2.500.000
TL"
7.6,130 m²,3 + 1,6 Yaşında,İstanbul,"Fatih, Hırka-I Şerif Mahallesi","6.000.000
TL"
7.7,130 m²,3 + 1,30 Yaşında,İstanbul,"Fatih, İskenderpaşa Mahallesi","5.500.000
TL"
7.8,125 m²,3 + 1,5 Yaşında,İstanbul,"Fatih, Karagümrük Mahallesi","4.200.000
TL"
7.9,110 m²,2 + 1,31 Yaşında,İstanbul,"Fatih, Koca Mustafapaşa Mahallesi","2.800.000
TL"
7.10,185 m²,3 + 1,8 Yaşında,İstanbul,"Fatih, Topkapı Mahallesi","6.000.000
TL"
7.11,140 m²,3 + 1,31 Yaşında,İstanbul,"Fatih, İskenderpaşa Mahallesi","5.000.000
TL"
7.12,100 m²,2 + 1,30 Yaşında,İstanbul,"Fatih, Mevlanakapı Mahallesi","9.500.000
TL"
7.13,70 m²,1 + 1,30 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","1.350.000
TL"
7.14,80 m²,2 + 1,50 Yaşında,İstanbul,"Fatih, Koca Mustafapaşa Mahallesi","2.450.000
TL"
7.15,90 m²,2 + 1,45 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","2.400
TL"
7.16,130 m²,3 + 2,10 Yaşında,İstanbul,"Fatih, Cerrahpaşa Mahallesi","7.500.000
TL"
7.17,140 m²,3 + 1,10 Yaşında,İstanbul,"Fatih, Ali Kuşçu Mahallesi","5.300.000
TL"
7.18,130 m²,3 + 1,23 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","5.500.000
TL"
7.19,90 m²,2 + 1,30 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","3.150.000
TL"
7.20,160 m²,3 + 1,35 Yaşında,İstanbul,"Fatih, Molla Gürani Mahallesi","8.900.000
TL"
7.21,200 m²,3 + 2,Sıfır Bina,İstanbul,"Fatih, Şehremini Mahallesi","7.000.000
TL"
7.22,52 m²,1 + 1,40 Yaşında,İstanbul,"Fatih, Haseki Sultan Mahallesi","7.000.000
TL"
7.23,80 m²,2 + 1,31 Yaşında,İstanbul,"Fatih, Koca Mustafapaşa Mahallesi","2.075.000
TL"
7.24,55 m²,1 + 1,35 Yaşında,İstanbul,"Fatih, Topkapı Mahallesi","1.500.000
TL"
8.1,160 m²,4 + 1,5 Yaşında,İstanbul,"Fatih, Yedikule Mahallesi","11.000.000
TL"
8.2,150 m²,3 + 1,45 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","4.950.000
TL"
8.3,240 m²,2 + 1,40 Yaşında,İstanbul,"Fatih, Balat Mahallesi","12.000.000
TL"
8.4,120 m²,3 + 1,40 Yaşında,İstanbul,"Fatih, Şehremini Mahallesi","2.950.000
TL"
8.5,110 m²,2 + 1,45 Yaşında,İstanbul,"Fatih, Haseki Sultan Mahallesi","3.650.000
TL"
8.6,150 m²,8 + 4,Sıfır Bina,İstanbul,"Fatih, Şehsuvar Bey Mahallesi","35.000.000
TL"
8.7,85 m²,2 + 1,38 Yaşında,İstanbul,"Fatih, Mevlanakapı Mahallesi","1.950.000
TL"
8.8,200 m²,5 + 2,40 Yaşında,İstanbul,"Fatih, Topkapı Mahallesi","3.750.000
TL"
8.9,100 m²,2 + 1,30 Yaşında,İstanbul,"Fatih, Derviş Ali Mahallesi","2.700.000
TL"
8.10,80 m²,2 + 1,40 Yaşında,İstanbul,"Fatih, Haseki Sultan Mahallesi","2.450.000
TL"
8.11,245 m²,5 + 1,35 Yaşında,İstanbul,"Fatih, Balat Mahallesi","14.500.000
TL"
8.12,90 m²,2 + 1,35 Yaşında,İstanbul,"Fatih, Şehremini Mahallesi","2.100.000
TL"
8.13,100 m²,2 + 1,40 Yaşında,İstanbul,"Fatih, Haseki Sultan Mahallesi","4.450.000
TL"
8.14,175 m²,3 + 1,35 Yaşında,İstanbul,"Fatih, Muhsine Hatun Mahallesi","3.250.000
TL"
8.15,105 m²,2 + 1,31 Yaşında,İstanbul,"Fatih, Haseki Sultan Mahallesi","4.000.000
TL"
8.16,80 m²,2 + 1,40 Yaşında,İstanbul,"Fatih, Koca Mustafapaşa Mahallesi","2.075.000
TL"
8.17,70 m²,8 + 4,25 Yaşında,İstanbul,"Fatih, Molla Gürani Mahallesi","15.000.000
TL"
8.18,100 m²,2 + 1,35 Yaşında,İstanbul,"Fatih, Yedikule Mahallesi","3.900.000
TL"
8.19,85 m²,2 + 1,45 Yaşında,İstanbul,"Fatih, Şehremini Mahallesi","1.650.000
TL"
8.20,80 m²,2 + 1,38 Yaşında,İstanbul,"Fatih, Şehremini Mahallesi","2.100.000
TL"
8.21,70 m²,1 + 1,40 Yaşında,İstanbul,"Fatih, Haseki Sultan Mahallesi","13.000.000
TL"
8.22,45 m²,1 + 1,50 Yaşında,İstanbul,"Fatih, Koca Mustafapaşa Mahallesi","1.450.000
TL"
8.23,90 m²,2 + 1,40 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","3.200.000
TL"
8.24,120 m²,3 + 1,30 Yaşında,İstanbul,"Fatih, Koca Mustafapaşa Mahallesi","3.450.000
TL"
9.1,180 m²,3 + 1,31 Yaşında,İstanbul,"Fatih, Derviş Ali Mahallesi","7.100.000
TL"
9.2,100 m²,2 + 1,40 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","2.500.000
TL"
9.3,80 m²,1 + 1,30 Yaşında,İstanbul,"Fatih, Derviş Ali Mahallesi","2.000.000
TL"
9.4,70 m²,1 + 1,35 Yaşında,İstanbul,"Fatih, Şehremini Mahallesi","1.650.000
TL"
9.5,110 m²,3 + 1,50 Yaşında,İstanbul,"Fatih, Yavuz Sultan Selim Mahallesi","3.250.000
TL"
9.6,60 m²,1 + 1,35 Yaşında,İstanbul,"Fatih, Derviş Ali Mahallesi","1.280.000
TL"
9.7,100 m²,2 + 1,Sıfır Bina,İstanbul,"Fatih, Şehremini Mahallesi","5.750.000
TL"
9.8,75 m²,2 + 1,40 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","2.200.000
TL"
9.9,70 m²,1 + 1,38 Yaşında,İstanbul,"Fatih, Mevlanakapı Mahallesi","1.850.000
TL"
9.10,180 m²,4 + 1,27 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","5.500.000
TL"
9.11,140 m²,3 + 1,31 Yaşında,İstanbul,"Fatih, İskenderpaşa Mahallesi","4.995.000
TL"
9.12,80 m²,2 + 1,40 Yaşında,İstanbul,"Fatih, Yedikule Mahallesi","2.055.000
TL"
9.13,100 m²,2 + 1,35 Yaşında,İstanbul,"Fatih, Şehremini Mahallesi","2.800.000
TL"
9.14,70 m²,1 + 1,30 Yaşında,İstanbul,"Fatih, Sümbül Efendi Mahallesi","1.390.000
TL"
9.15,75 m²,2 + 1,40 Yaşında,İstanbul,"Fatih, Karagümrük Mahallesi","2.250.000
TL"
9.16,85 m²,2 + 1,30 Yaşında,İstanbul,"Fatih, Şehremini Mahallesi","2.700.000
TL"
9.17,180 m²,4 + 2,35 Yaşında,İstanbul,"Fatih, Molla Gürani Mahallesi","2.975.000
TL"
9.18,50 m²,1 + 1,50 Yaşında,İstanbul,"Fatih, Şehremini Mahallesi","990.000
TL"
9.19,73 m²,2 + 1,45 Yaşında,İstanbul,"Fatih, İskenderpaşa Mahallesi","2.500.000
TL"
9.20,60 m²,1 + 1,35 Yaşında,İstanbul,"Fatih, Koca Mustafapaşa Mahallesi","1.600.000
TL"
9.21,100 m²,2 + 1,31 Yaşında,İstanbul,"Fatih, Haseki Sultan Mahallesi","3.100.000
TL"
9.22,80 m²,2 + 1,32 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","1.900.000
TL"
9.23,140 m²,3 + 1,Sıfır Bina,İstanbul,"Fatih, Ayvansaray Mahallesi","6.250.000
TL"
9.24,100 m²,2 + 1,35 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","3.500.000
TL"
10.1,115 m²,2 + 1,35 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","3.200.000
TL"
